id,year,month,day,mets,pdf,label
3220,1902,04,09,1260640226256540.xml,1260640226262208.pdf,1902-04-09
3221,1902,04,10,1260640226288235.xml,1260640226293749.pdf,1902-04-10
3222,1902,04,11,1260640226319796.xml,1260640226325147.pdf,1902-04-11
3223,1902,04,12,1260640226351525.xml,1260640226357043.pdf,1902-04-12
3224,1902,04,15,1260640226388714.xml,1260640226393937.pdf,1902-04-15
3225,1902,04,16,1260640226433270.xml,1260640226438701.pdf,1902-04-16
3226,1902,04,17,1260640226477338.xml,1260640226482958.pdf,1902-04-17
3227,1902,04,18,1260640226535488.xml,1260640226542212.pdf,1902-04-18
3228,1902,04,19,1260640226580016.xml,1260640226586222.pdf,1902-04-19
3229,1902,04,21,1260640226618966.xml,1260640226624584.pdf,1902-04-21
3230,1902,04,22,1260640226650374.xml,1260640226656142.pdf,1902-04-22
3231,1902,04,23,1260640226682508.xml,1260640226688208.pdf,1902-04-23
3232,1902,04,24,1260640226714645.xml,1260640226720136.pdf,1902-04-24
3233,1902,04,25,1260640226746347.xml,1260640226751895.pdf,1902-04-25
3234,1902,04,26,1260640226779207.xml,1260640226784738.pdf,1902-04-26
3235,1902,04,28,1260640226821798.xml,1260640226827841.pdf,1902-04-28
3236,1902,04,29,1260640226858896.xml,1260640226864346.pdf,1902-04-29
3237,1902,04,30,1260640226890867.xml,1260640226896335.pdf,1902-04-30
3238,1902,05,02,1260640226923277.xml,1260640226928857.pdf,1902-05-02
3239,1902,05,03,1260640226956059.xml,1260640226961633.pdf,1902-05-03
3240,1902,05,05,1260640226988784.xml,1260640226994259.pdf,1902-05-05
3241,1902,05,07,1260640227109690.xml,1260640227116419.pdf,1902-05-07
3242,1902,05,08,1260640227147965.xml,1260640227154753.pdf,1902-05-08
3243,1902,05,09,1260640227186989.xml,1260640227192843.pdf,1902-05-09
3244,1902,05,10,1260640227221234.xml,1260640227227008.pdf,1902-05-10
3245,1902,05,12,1260640227253045.xml,1260640227258614.pdf,1902-05-12
3246,1902,05,13,1260640227284470.xml,1260640227290029.pdf,1902-05-13
3247,1902,05,14,1260640227316552.xml,1260640227321786.pdf,1902-05-14
3248,1902,05,06,126064022733754.xml,126064022743607.pdf,1902-05-06
3249,1902,05,15,1260640227348792.xml,1260640227354212.pdf,1902-05-15
3250,1902,05,16,1260640227380307.xml,1260640227386041.pdf,1902-05-16
3251,1902,05,17,1260640227415116.xml,1260640227421562.pdf,1902-05-17
3252,1902,05,19,1260640227450933.xml,1260640227456236.pdf,1902-05-19
3253,1902,05,20,1260640227483490.xml,1260640227488932.pdf,1902-05-20
3254,1902,05,21,1260640227515813.xml,1260640227521486.pdf,1902-05-21
3255,1902,05,22,1260640227547981.xml,1260640227553523.pdf,1902-05-22
3256,1902,05,23,1260640227579697.xml,1260640227585383.pdf,1902-05-23
3257,1902,05,24,1260640227612177.xml,1260640227617743.pdf,1902-05-24
3258,1902,05,26,1260640227644391.xml,1260640227649750.pdf,1902-05-26
3259,1902,05,27,1260640227676041.xml,1260640227682728.pdf,1902-05-27
3260,1902,05,28,1260640227719513.xml,1260640227726913.pdf,1902-05-28
3261,1902,05,29,1260640227755178.xml,1260640227761035.pdf,1902-05-29
3262,1902,05,31,1260640227788687.xml,1260640227794116.pdf,1902-05-31
3263,1902,06,02,1260640227820608.xml,1260640227826219.pdf,1902-06-02
3264,1902,06,03,1260640227852713.xml,1260640227858118.pdf,1902-06-03
3265,1902,06,04,1260640227884405.xml,1260640227890407.pdf,1902-06-04
3266,1969,09,10,1260640227917505.xml,1260640227923063.pdf,1969-09-10
3267,1969,09,12,1260640227958061.xml,1260640227964815.pdf,1969-09-12
3268,1969,09,15,1260640227994466.xml,1260640228139.pdf,1969-09-15
3269,1969,09,18,1260640228122384.xml,1260640228129847.pdf,1969-09-18
3270,1969,09,19,1260640228164523.xml,1260640228171744.pdf,1969-09-19
3271,1969,09,22,1260640228204261.xml,1260640228210827.pdf,1969-09-22
3272,1969,09,23,1260640228244129.xml,1260640228251602.pdf,1969-09-23
3273,1969,09,24,1260640228286809.xml,1260640228298491.pdf,1969-09-24
3274,1969,09,25,1260640228337407.xml,1260640228343529.pdf,1969-09-25
3275,1969,09,16,126064022835890.xml,126064022844687.pdf,1969-09-16
3276,1969,09,26,1260640228368559.xml,1260640228374654.pdf,1969-09-26
3277,1969,09,29,1260640228401526.xml,1260640228406963.pdf,1969-09-29
